1,191,29,39
2,336,31,55
3,375,17,303
4,374,25,216
5,248,40,42
6,143,11,10
7,152,31,3
8,320,42,116
9,319,50,201
10,382,50,169
11,360,48,246
12,476,23,118
13,122,17,73
14,164,25,4
15,183,47,100
16,191,49,72
17,146,31,55
18,230,42,82
19,244,39,154
20,250,40,76
21,204,38,0
22,491,42,53
23,143,42,27
24,106,11,60
25,333,36,278
26,401,35,77
27,410,48,353
28,387,41,267
29,330,35,241
30,182,34,35
31,241,35,210
32,134,26,49
33,421,40,296
34,495,11,128
35,115,18,40
36,250,26,12
37,467,35,80
38,202,45,3
39,218,16,99
40,362,22,334
41,460,39,52
42,384,32,325
43,493,20,473
44,106,40,16
45,276,20,159
46,491,35,305
47,269,19,132
48,497,44,249
49,306,41,291
50,414,10,84
51,244,22,76
52,486,14,93
53,179,10,69
54,493,40,436
55,445,39,413
56,333,44,325
57,332,47,150
58,248,45,137
59,134,40,35
60,457,49,42
61,287,14,276
62,267,15,194
63,463,26,188
64,322,37,53
65,210,15,100
66,124,15,19
67,424,37,86
68,320,35,147
69,111,46,58
70,163,24,117
71,342,30,323
72,366,20,76
73,500,39,8
74,390,11,371
75,332,29,209
76,275,24,193
77,441,25,320
78,382,28,33
79,386,31,5
80,287,33,64
81,289,47,256
82,444,34,126
83,296,34,176
84,362,11,132
85,488,29,100
86,238,43,114
87,329,16,127
88,288,26,251
89,237,49,142
90,385,37,294
91,287,27,8
92,253,37,227
93,288,43,265
94,217,23,187
95,372,30,79
96,243,30,159
97,462,11,417
98,288,22,70
99,370,24,23
100,382,19,91
101,461,11,114
102,442,47,208
103,126,18,25
104,361,15,7
105,418,13,215
106,184,22,81
107,158,12,130
108,386,49,8
109,315,27,26
110,453,33,340
111,381,47,350
112,229,24,141
113,410,13,384
114,298,21,223
115,354,27,104
116,152,49,41
117,207,48,86
118,118,23,65
119,321,14,165
120,204,21,51
121,485,27,234
122,402,46,91
123,424,15,136
124,447,27,387
125,134,43,17
126,376,37,54
127,113,27,50
128,353,32,156
129,155,35,134
130,444,41,367
131,194,35,141
132,204,17,29
133,266,45,7
134,205,28,159
135,482,19,447
136,291,41,167
137,493,16,460
138,302,25,85
139,439,29,67
140,477,23,232
141,408,37,117
142,358,24,295
143,187,26,56
144,151,19,7
145,231,27,117
146,238,48,84
147,413,23,85
148,304,12,204
149,296,25,259
150,441,20,362
151,443,12,194
152,211,27,207
153,444,17,126
154,483,48,109
155,418,21,349
156,302,13,105
157,305,12,190
158,459,23,370
159,169,42,151
160,413,33,112
161,420,40,141
162,140,17,43
163,365,17,59
164,253,49,4
165,282,29,277
166,429,29,372
167,132,22,68
168,308,19,55
169,296,40,202
170,448,15,325
171,207,14,31
172,266,35,61
173,292,48,194
174,182,37,146
175,461,31,271
176,468,30,302
177,488,38,425
178,354,10,92
179,200,16,160
180,410,34,402
181,364,34,256
182,339,50,88
183,173,50,141
184,479,25,17
185,462,12,316
186,482,50,256
187,281,26,226
188,182,47,86
189,455,19,274
190,386,36,300
191,248,38,171
192,362,34,32
193,297,48,81
194,421,35,262
195,324,17,266
196,121,35,94
197,298,33,194
198,256,28,150
199,229,39,8
200,356,32,51
201,184,32,76
202,416,46,221
203,335,43,275
204,310,27,305
205,156,24,87
206,318,12,39
207,110,33,90
208,485,29,11
209,298,49,201
210,210,50,20
211,179,41,26
212,291,39,270
213,358,13,338
214,379,18,221
215,114,42,49
216,250,50,25
217,402,11,267
218,290,23,78
219,490,12,116
220,148,18,87
221,424,14,183
222,418,50,403
223,275,27,42
224,481,20,201
225,211,10,145
226,106,39,97
227,130,34,24
228,253,12,171
229,264,10,77
230,254,27,111
231,261,26,115
232,266,50,252
233,490,42,221
234,312,32,148
235,105,30,58
236,451,37,60
237,468,15,414
238,250,17,10
239,344,45,48
240,420,32,109
241,485,35,312
242,188,22,46
243,250,46,24
244,373,18,162
245,343,21,149
246,469,21,437
247,145,45,2
248,188,13,55
249,289,27,159
250,308,10,13
251,403,20,172
252,261,49,248
253,139,46,114
254,187,40,142
255,271,25,268
256,452,31,428
257,338,32,6
258,202,18,90
259,220,41,131
260,171,31,141
261,326,35,120
262,174,44,164
263,468,50,11
264,341,32,213
265,416,24,186
266,475,42,31
267,289,14,63
268,368,15,19
269,118,40,118
270,240,30,190
271,398,17,257
272,315,27,34
273,191,36,111
274,137,26,57
275,140,29,104
276,160,41,117
277,376,46,361
278,267,35,224
279,492,12,179
280,412,38,102
281,253,32,76
282,418,40,118
283,395,46,275
284,183,44,125
285,428,12,104
286,230,36,192
287,347,21,225
288,129,26,47
289,270,44,200
290,388,34,312
291,443,23,128
292,406,29,376
293,151,18,49
294,409,42,83
295,347,28,56
296,450,33,208
297,228,40,71
298,294,35,165
299,316,38,185
300,235,47,153
